gene_id	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
MFD01231.bin.1.34.R1.cmag_contig_3_647	MFD01231.bin.1.34.R1.cmag	contig_3	647	796921	797265	-1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_648	MFD01231.bin.1.34.R1.cmag	contig_3	648	797278	797451	-1	C	bgw:VE98_C0001G0118	K09131	bgw:VE98_C0001G0118 (ko:K09131)  hypothetical protein	False	0.538	60.0	2.354e-09								Uncharacterised ACR, YggU family COG1872 [PF02594.20]					0
MFD01231.bin.1.34.R1.cmag_contig_3_649	MFD01231.bin.1.34.R1.cmag	contig_3	649	797500	798564	-1	A	pef:A7E78_04875	K00052	pef:A7E78_04875 (ko:K00052)  3-isopropylmalate dehydrogenase	True	0.752	539.0	1.5309999999999998e-169								Isocitrate/isopropylmalate dehydrogenase [PF00180.24]					0
MFD01231.bin.1.34.R1.cmag_contig_3_650	MFD01231.bin.1.34.R1.cmag	contig_3	650	798569	800092	-1	A	kme:H0A61_02709	K01649	kme:H0A61_02709 (ko:K01649)  leuA; 2-isopropylmalate synthase	True	0.589	569.0	4.904e-177								HMGL-like [PF00682.23]; LeuA allosteric (dimerisation) domain [PF08502.14]					0
MFD01231.bin.1.34.R1.cmag_contig_3_651	MFD01231.bin.1.34.R1.cmag	contig_3	651	800089	800991	-1	C	des:DSOUD_1343	K17103	des:DSOUD_1343 (ko:K17103)  pssA; CDP-diacylglycerol--serine O-phosphatidyltransferase	False	0.358	158.0	2.849e-39								CDP-alcohol phosphatidyltransferase [PF01066.25]					0
MFD01231.bin.1.34.R1.cmag_contig_3_652	MFD01231.bin.1.34.R1.cmag	contig_3	652	800975	801628	-1	C	dps:DP2771	K01613	dps:DP2771 (ko:K01613)  probable phosphatidylserine decarboxylase	False	0.412	156.0	7.367e-40								Phosphatidylserine decarboxylase [PF02666.19]					0
MFD01231.bin.1.34.R1.cmag_contig_3_653	MFD01231.bin.1.34.R1.cmag	contig_3	653	801633	802649	-1	A	cad:Curi_c12340	K00053	cad:Curi_c12340 (ko:K00053)  ilvC; ketol-acid reductoisomerase IlvC	True	0.698	460.0	1.649e-142								Acetohydroxy acid isomeroreductase, NADPH-binding domain [PF07991.16]; Acetohydroxy acid isomeroreductase, catalytic domain [PF01450.23]; NAD binding domain of 6-phosphogluconate dehydrogenase [PF03446.19]; D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.23]					0
MFD01231.bin.1.34.R1.cmag_contig_3_654	MFD01231.bin.1.34.R1.cmag	contig_3	654	802687	803166	-1	C	mbu:Mbur_0709	K01653	mbu:Mbur_0709 (ko:K01653)  acetolactate synthase, small subunit	False	0.604	187.0	1.978e-51								Small subunit of acetolactate synthase [PF10369.13]; ACT domain [PF13710.10]; ACT domain [PF01842.29]; ACT domain pair [PF19571.3]					0
MFD01231.bin.1.34.R1.cmag_contig_3_655	MFD01231.bin.1.34.R1.cmag	contig_3	655	803359	803481	1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_656	MFD01231.bin.1.34.R1.cmag	contig_3	656	803478	804215	-1	C	bwx:NQ550_21870	K03501	bwx:NQ550_21870 (ko:K03501)  rsmG; 16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	False	0.448	174.0	1.605e-45								rRNA small subunit methyltransferase G [PF02527.19]					0
MFD01231.bin.1.34.R1.cmag_contig_3_657	MFD01231.bin.1.34.R1.cmag	contig_3	657	804232	806118	-1	A	nde:NIDE0362	K03495	nde:NIDE0362 (ko:K03495)  gidA; tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	True	0.587	698.0	1.473e-219								Glucose inhibited division protein A [PF01134.26]; tRNA modifying enzyme MnmG/GidA C-terminal helical bundle [PF13932.10]; tRNA modifying enzyme MnmG/GidA C-terminal helical domain [PF21680.1]; FAD dependent oxidoreductase [PF12831.11]					0
MFD01231.bin.1.34.R1.cmag_contig_3_658	MFD01231.bin.1.34.R1.cmag	contig_3	658	806234	807643	-1	A	twi:Thewi_2719	K03650	twi:Thewi_2719 (ko:K03650)  tRNA modification GTPase mnmE	True	0.516	444.0	8.617999999999999e-135								MnmE helical domain [PF12631.11]; GTP-binding protein TrmE N-terminus [PF10396.13]; 50S ribosome-binding GTPase [PF01926.27]; Ferrous iron transport protein B [PF02421.22]; Ras family [PF00071.26]; ADP-ribosylation factor family [PF00025.25]; Ethanolamine utilisation - propanediol utilisation [PF10662.13]; AIG1 family [PF04548.20]					0
MFD01231.bin.1.34.R1.cmag_contig_3_659	MFD01231.bin.1.34.R1.cmag	contig_3	659	807798	808556	1	C	fmo:C4N19_11750	K03630	fmo:C4N19_11750 (ko:K03630)  DNA repair protein RadC	False	0.479	197.0	2.683e-53								RadC-like JAB domain [PF04002.19]; UPF0758 N-terminal [PF20582.2]					0
MFD01231.bin.1.34.R1.cmag_contig_3_660	MFD01231.bin.1.34.R1.cmag	contig_3	660	808604	809704	-1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_661	MFD01231.bin.1.34.R1.cmag	contig_3	661	809859	812369	1	A	mox:DAMO_2460	K16881	mox:DAMO_2460 (ko:K16881)  Nucleotidyl transferase	True	0.572	912.0	1.567e-289								Nucleotidyl transferase [PF00483.27]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I [PF02878.20]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II [PF02879.20]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III [PF02880.20]; MobA-like NTP transferase domain [PF12804.11]					0
MFD01231.bin.1.34.R1.cmag_contig_3_662	MFD01231.bin.1.34.R1.cmag	contig_3	662	812398	813834	1	A	dep:AOP6_1826		dep:AOP6_1826 ()  phosphoglucomutase	True	0.501	443.0	2.311e-134								Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I [PF02878.20]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III [PF02880.20]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II [PF02879.20]; Phosphoglucomutase/phosphomannomutase, C-terminal domain [PF00408.24]					0
MFD01231.bin.1.34.R1.cmag_contig_3_663	MFD01231.bin.1.34.R1.cmag	contig_3	663	813854	815002	1	A	bkw:BkAM31D_22100	K00865	bkw:BkAM31D_22100 (ko:K00865)  garK; Glycerate 2-kinase	True	0.53	377.0	3.653e-113								Glycerate kinase family [PF02595.19]					0
MFD01231.bin.1.34.R1.cmag_contig_3_664	MFD01231.bin.1.34.R1.cmag	contig_3	664	814999	815580	1	C	pko:PKOR_09505		pko:PKOR_09505 ()  hypothetical protein	False	0.341	66.0	4.087e-09								Family of unknown function (DUF6141) [PF19638.3]					0
MFD01231.bin.1.34.R1.cmag_contig_3_665	MFD01231.bin.1.34.R1.cmag	contig_3	665	815595	817631	1	C	plyc:GXP70_22710	K01191	plyc:GXP70_22710 (ko:K01191)  alpha-mannosidase	False	0.299	325.0	6.51e-91								Glycosyl hydrolases family 38 N-terminal domain [PF01074.26]; Alpha mannosidase middle domain [PF09261.15]	GH38	GH38 alpha-mannosidase (EC 3.2.1.24); mannosyl-oligosaccharide alpha-1,2-mannosidase (EC 3.2.1.113); mannosyl-oligosaccharide alpha-1,3-1,6-mannosidase (EC 3.2.1.114); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC 3.2.1.207); mannosyl-oligosaccharide alpha-1,6-mannosidase / exo-alpha-1,6-mannosidase (EC 3.2.1.163)	3.2.1.113,3.2.1.114,3.2.1.163,3.2.1.24,3.2.1.-	GH38.hmm	0
MFD01231.bin.1.34.R1.cmag_contig_3_666	MFD01231.bin.1.34.R1.cmag	contig_3	666	818040	820811	1	C	clit:OQ292_38720		clit:OQ292_38720 ()  tetratricopeptide repeat protein	False	0.19	162.0	1.3720000000000002e-36								Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.11]; TPR repeat [PF13414.10]; Tetratricopeptide repeat [PF13371.10]; Outer membrane lipoprotein [PF13525.10]; Tetratricopeptide repeat [PF13429.10]; Plant specific mitochondrial import receptor subunit TOM20 [PF06552.16]; Tetratricopeptide repeat [PF14559.10]; ChAPs (Chs5p-Arf1p-binding proteins) [PF09295.14]; Tetratricopeptide repeat [PF00515.32]; Tetratricopeptide repeat [PF13512.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_667	MFD01231.bin.1.34.R1.cmag	contig_3	667	820821	822617	1	C	riv:Riv7116_6081		riv:Riv7116_6081 ()  trypsin-like serine protease with C-terminal PDZ domain	False	0.296	220.0	9.485e-57								Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.11]; Tetratricopeptide repeat [PF13429.10]; TPR repeat [PF13414.10]; Tetratricopeptide repeat [PF13371.10]; Plant specific mitochondrial import receptor subunit TOM20 [PF06552.16]; Outer membrane lipoprotein [PF13525.10]; Tetratricopeptide repeat [PF14559.10]; Tetratricopeptide repeat [PF13424.10]; Tetratricopeptide repeat [PF00515.32]					0
MFD01231.bin.1.34.R1.cmag_contig_3_668	MFD01231.bin.1.34.R1.cmag	contig_3	668	822642	823874	-1	C	bha:BH2093	K07493	bha:BH2093 (ko:K07493)  transposase (04)	False	0.296	159.0	3.286e-38								Transposase, Mutator family [PF00872.22]					0
MFD01231.bin.1.34.R1.cmag_contig_3_669	MFD01231.bin.1.34.R1.cmag	contig_3	669	824064	825260	1	C	gee:GM3708_1040		gee:GM3708_1040 ()  TPR domain protein	False	0.263	112.0	1.1669999999999998e-22								Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.11]; Tetratricopeptide repeat [PF13429.10]; TPR repeat [PF13414.10]; Outer membrane lipoprotein [PF13525.10]; Tetratricopeptide repeat [PF14559.10]; Tetratricopeptide repeat [PF13371.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_670	MFD01231.bin.1.34.R1.cmag	contig_3	670	825325	825843	1	C	deu:DBW_1041		deu:DBW_1041 ()  hypothetical protein	False	0.311	71.0	3.091e-11													0
MFD01231.bin.1.34.R1.cmag_contig_3_671	MFD01231.bin.1.34.R1.cmag	contig_3	671	825975	826460	1	C	fsh:Q2T83_06990	K07095	fsh:Q2T83_06990 (ko:K07095)  metallophosphoesterase	False	0.515	160.0	6.089999999999999e-42								Calcineurin-like phosphoesterase superfamily domain [PF12850.11]					0
MFD01231.bin.1.34.R1.cmag_contig_3_672	MFD01231.bin.1.34.R1.cmag	contig_3	672	826524	826769	1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_673	MFD01231.bin.1.34.R1.cmag	contig_3	673	826766	827179	1	C	mox:DAMO_1234	K07063	mox:DAMO_1234 (ko:K07063)  PilT protein domain protein	False	0.458	109.0	5.403e-25								PIN domain [PF13470.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_674	MFD01231.bin.1.34.R1.cmag	contig_3	674	827227	828549	1	C	gsb:GSUB_04955		gsb:GSUB_04955 ()  hypothetical protein	False	0.361	264.0	2.094e-73								Protein of unknown function (DUF1015) [PF06245.15]					0
MFD01231.bin.1.34.R1.cmag_contig_3_675	MFD01231.bin.1.34.R1.cmag	contig_3	675	828557	831109	1	C	kme:H0A61_02641	K02238	kme:H0A61_02641 (ko:K02238)  comEC_3; ComE operon protein 3	False	0.263	296.0	1.857e-79								Competence protein [PF03772.20]; Domain of unknown function (DUF4131) [PF13567.10]; Metallo-beta-lactamase superfamily [PF00753.31]; Beta-lactamase superfamily domain [PF12706.11]					0
MFD01231.bin.1.34.R1.cmag_contig_3_676	MFD01231.bin.1.34.R1.cmag	contig_3	676	831133	832209	1	C	mcad:Pan265_09710		mcad:Pan265_09710 ()  pdaA; Peptidoglycan-N-acetylmuramic acid deacetylase PdaA precursor	False	0.335	135.0	1.468e-30													0
MFD01231.bin.1.34.R1.cmag_contig_3_677	MFD01231.bin.1.34.R1.cmag	contig_3	677	832216	834849	1	C	mcad:Pan265_09710		mcad:Pan265_09710 ()  pdaA; Peptidoglycan-N-acetylmuramic acid deacetylase PdaA precursor	False	0.314	133.0	7.949e-28													0
MFD01231.bin.1.34.R1.cmag_contig_3_678	MFD01231.bin.1.34.R1.cmag	contig_3	678	834899	835456	1	C	hmar:HVMH_0995		hmar:HVMH_0995 ()  membrane protein	False	0.494	169.0	1.203e-44													0
MFD01231.bin.1.34.R1.cmag_contig_3_679	MFD01231.bin.1.34.R1.cmag	contig_3	679	835586	836176	1	C	mox:DAMO_0395	K04564	mox:DAMO_0395 (ko:K04564)  Superoxide dismutase	False	0.772	309.0	5.02e-93								Iron/manganese superoxide dismutases, C-terminal domain [PF02777.22]					0
MFD01231.bin.1.34.R1.cmag_contig_3_680	MFD01231.bin.1.34.R1.cmag	contig_3	680	836209	837546	1	A	uam:UABAM_04103	K00425	uam:UABAM_04103 (ko:K00425)  cytochrome ubiquinol oxidase subunit I	True	0.613	511.0	2.164e-158								Cytochrome bd terminal oxidase subunit I [PF01654.21]					0
MFD01231.bin.1.34.R1.cmag_contig_3_681	MFD01231.bin.1.34.R1.cmag	contig_3	681	837539	838567	1	C	mfb:MFUL124B02_39865	K00426	mfb:MFUL124B02_39865 (ko:K00426)  cytochrome BD ubiquinol oxidase subunit II	False	0.44	256.0	4.560000000000001e-72								Cytochrome bd terminal oxidase subunit II [PF02322.19]					0
MFD01231.bin.1.34.R1.cmag_contig_3_682	MFD01231.bin.1.34.R1.cmag	contig_3	682	838560	838922	1	C	brey:MNR06_10930		brey:MNR06_10930 ()  translation initiation factor	False	0.571	132.0	3.937e-33								Translation initiation factor SUI1 [PF01253.26]					0
MFD01231.bin.1.34.R1.cmag_contig_3_683	MFD01231.bin.1.34.R1.cmag	contig_3	683	838953	840041	1	C	anb:ANA_C10863		anb:ANA_C10863 ()  HEAT-repeat-containing PBS lyase	False	0.327	166.0	7.061e-41								HEAT repeats [PF13646.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_684	MFD01231.bin.1.34.R1.cmag	contig_3	684	840038	840586	1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_685	MFD01231.bin.1.34.R1.cmag	contig_3	685	840611	841852	1	C	tlh:NR989_06655		tlh:NR989_06655 ()  GGDEF domain-containing protein	False	0.306	166.0	1.475e-40								Diguanylate cyclase, GGDEF domain [PF00990.25]					0
MFD01231.bin.1.34.R1.cmag_contig_3_686	MFD01231.bin.1.34.R1.cmag	contig_3	686	841868	843004	1	C	tfr:BR63_18785	K00005	tfr:BR63_18785 (ko:K00005)  iron-containing alcohol dehydrogenase	False	0.324	177.0	1.484e-44								Iron-containing alcohol dehydrogenase [PF00465.23]; Iron-containing alcohol dehydrogenase [PF13685.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_687	MFD01231.bin.1.34.R1.cmag	contig_3	687	843077	844168	1	D															PilZ domain [PF07238.18]					0
MFD01231.bin.1.34.R1.cmag_contig_3_688	MFD01231.bin.1.34.R1.cmag	contig_3	688	844193	845536	1	A	bpit:BPIT_12110		bpit:BPIT_12110 ()  conserved hypothetical protein	True	0.533	427.0	2.548e-129								Domain of unknown function (DUF4139) [PF13598.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_689	MFD01231.bin.1.34.R1.cmag	contig_3	689	845558	846223	-1	C	bdz:DOM22_15240	K02039	bdz:DOM22_15240 (ko:K02039)  phoU; phosphate transport system regulatory protein PhoU	False	0.446	175.0	3.396e-46								PhoU domain [PF01895.23]					0
MFD01231.bin.1.34.R1.cmag_contig_3_690	MFD01231.bin.1.34.R1.cmag	contig_3	690	846245	847024	-1	C	dau:Daud_1416	K02036	dau:Daud_1416 (ko:K02036)  phosphate ABC transporter, ATPase subunit	False	0.659	326.0	1.117e-97								ABC transporter [PF00005.31]					0
MFD01231.bin.1.34.R1.cmag_contig_3_691	MFD01231.bin.1.34.R1.cmag	contig_3	691	847002	847763	-1	C	dao:Desac_2631	K02036	dao:Desac_2631 (ko:K02036)  Phosphate-transporting ATPase	False	0.599	289.0	4.446e-85								ABC transporter [PF00005.31]					0
MFD01231.bin.1.34.R1.cmag_contig_3_692	MFD01231.bin.1.34.R1.cmag	contig_3	692	847769	848680	-1	C	vin:AKJ08_2467	K02038	vin:AKJ08_2467 (ko:K02038)  Phosphate transport system permease protein PstA	False	0.616	344.0	2.839e-103								Binding-protein-dependent transport system inner membrane component [PF00528.26]					0
MFD01231.bin.1.34.R1.cmag_contig_3_693	MFD01231.bin.1.34.R1.cmag	contig_3	693	848757	849734	-1	C	acp:A2cp1_4147	K02037	acp:A2cp1_4147 (ko:K02037)  phosphate ABC transporter, inner membrane subunit PstC	False	0.568	344.0	7.204999999999999e-103								Binding-protein-dependent transport system inner membrane component [PF00528.26]					0
MFD01231.bin.1.34.R1.cmag_contig_3_694	MFD01231.bin.1.34.R1.cmag	contig_3	694	849740	850582	-1	C	vin:AKJ08_2465	K02040	vin:AKJ08_2465 (ko:K02040)  Phosphate ABC transporter, periplasmic phosphate-binding protein PstS	False	0.621	313.0	6.556e-93								PBP superfamily domain [PF12849.11]					0
MFD01231.bin.1.34.R1.cmag_contig_3_695	MFD01231.bin.1.34.R1.cmag	contig_3	695	850761	851429	-1	C	mmaf:GCM100_17540	K02039	mmaf:GCM100_17540 (ko:K02039)  phosphate transport system regulatory protein PhoU	False	0.439	171.0	8.147e-45								PhoU domain [PF01895.23]					0
MFD01231.bin.1.34.R1.cmag_contig_3_696	MFD01231.bin.1.34.R1.cmag	contig_3	696	851470	852372	-1	C	nga:Ngar_c09820	K02036	nga:Ngar_c09820 (ko:K02036)  pstB; ABC phosphate uptake transporter, ATP-binding protein	False	0.649	350.0	2.231e-105								ABC transporter [PF00005.31]					0
MFD01231.bin.1.34.R1.cmag_contig_3_697	MFD01231.bin.1.34.R1.cmag	contig_3	697	852385	853236	-1	C	grb:GOB94_12365	K02038	grb:GOB94_12365 (ko:K02038)  pstA; phosphate ABC transporter permease PstA	False	0.55	289.0	2.177e-84													0
MFD01231.bin.1.34.R1.cmag_contig_3_698	MFD01231.bin.1.34.R1.cmag	contig_3	698	853233	854231	-1	C	vai:BU251_06685	K02037	vai:BU251_06685 (ko:K02037)  phosphate ABC transporter permease subunit PstC	False	0.582	336.0	7.069e-100													0
MFD01231.bin.1.34.R1.cmag_contig_3_699	MFD01231.bin.1.34.R1.cmag	contig_3	699	854272	855306	-1	A	thep:DYI95_008165	K02040	thep:DYI95_008165 (ko:K02040)  pstS; phosphate ABC transporter substrate-binding protein PstS	True	0.608	361.0	4.059e-108								PBP superfamily domain [PF12849.11]					0
MFD01231.bin.1.34.R1.cmag_contig_3_700	MFD01231.bin.1.34.R1.cmag	contig_3	700	855341	856903	-1	C	cuu:BKK79_28015		cuu:BKK79_28015 ()  hypothetical protein	False	0.254	133.0	7.973e-29								Gram-negative porin [PF13609.10]; Gram-negative porin [PF00267.25]					0
MFD01231.bin.1.34.R1.cmag_contig_3_701	MFD01231.bin.1.34.R1.cmag	contig_3	701	857003	858034	-1	C	tpx:Turpa_3941		tpx:Turpa_3941 ()  diguanylate cyclase	False	0.47	149.0	1.676e-35								Diguanylate cyclase, GGDEF domain [PF00990.25]					0
MFD01231.bin.1.34.R1.cmag_contig_3_702	MFD01231.bin.1.34.R1.cmag	contig_3	702	858358	858525	1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_703	MFD01231.bin.1.34.R1.cmag	contig_3	703	858573	858848	1	C	fgi:OP10G_2244	K01208	fgi:OP10G_2244 (ko:K01208)  alpha amylase catalytic region	False	0.522	84.0	4.501e-17								Glycogen recognition site of AMP-activated protein kinase [PF16561.9]; Carbohydrate-binding module 48 (Isoamylase N-terminal domain) [PF02922.22]					0
MFD01231.bin.1.34.R1.cmag_contig_3_704	MFD01231.bin.1.34.R1.cmag	contig_3	704	858979	860262	-1	C	fsh:Q2T83_08185		fsh:Q2T83_08185 ()  right-handed parallel beta-helix repeat-containing protein	False	0.327	192.0	4.96e-49								Chondroitinase B [PF14592.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_705	MFD01231.bin.1.34.R1.cmag	contig_3	705	860445	860684	1	C	cbg:CbuG_0713		cbg:CbuG_0713 ()  hypothetical membrane-associated protein	False	0.548	86.0	5.279e-18													0
MFD01231.bin.1.34.R1.cmag_contig_3_706	MFD01231.bin.1.34.R1.cmag	contig_3	706	860674	861051	1	C	glo:Glov_3572		glo:Glov_3572 ()  PilT protein domain protein	False	0.709	181.0	6.54e-50								PIN domain [PF01850.25]					0
MFD01231.bin.1.34.R1.cmag_contig_3_707	MFD01231.bin.1.34.R1.cmag	contig_3	707	861169	862878	1	C	ncn:BZZ01_08675		ncn:BZZ01_08675 ()  rhomboid family intramembrane serine protease	False	0.361	308.0	2.073e-86	MER1080269	S54	MER1080269 - family S54 unassigned peptidases (Hassallia byssoidea) [S54.UPW]#S54#{peptidase unit: 338-517}~source A0A0C1UB97~	False	0.447	143.0	1.922e-33	Rhomboid family [PF01694.26]					0
MFD01231.bin.1.34.R1.cmag_contig_3_708	MFD01231.bin.1.34.R1.cmag	contig_3	708	862895	863488	1	C	afw:Anae109_4101		afw:Anae109_4101 ()  Methyltransferase type 11	False	0.502	175.0	1.288e-46								Methyltransferase domain [PF13847.10]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.23]; O-methyltransferase [PF01596.21]; Methyltransferase domain [PF13489.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_709	MFD01231.bin.1.34.R1.cmag	contig_3	709	863545	863892	1	D															Antitoxin component of bacterial toxin-antitoxin system, MqsA [PF15731.9]; Domain of unknown function (DUF1870) [PF08965.14]					0
MFD01231.bin.1.34.R1.cmag_contig_3_710	MFD01231.bin.1.34.R1.cmag	contig_3	710	864207	864443	-1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_711	MFD01231.bin.1.34.R1.cmag	contig_3	711	864558	866330	-1	A	dao:Desac_2637	K07636	dao:Desac_2637 (ko:K07636)  multi-sensor signal transduction histidine kinase	True	0.506	553.0	2.968e-170								Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.30]; Single Cache-like [PF16736.9]; His Kinase A (phospho-acceptor) domain [PF00512.29]; PAS domain [PF13596.10]; PAS fold [PF08448.14]; HAMP domain [PF00672.29]					0
MFD01231.bin.1.34.R1.cmag_contig_3_712	MFD01231.bin.1.34.R1.cmag	contig_3	712	866334	867029	-1	C	dti:Desti_5065		dti:Desti_5065 ()  response regulator with CheY-like receiver domain and winged-helix DNA-binding domain	False	0.676	308.0	6.327e-92								Response regulator receiver domain [PF00072.28]; Transcriptional regulatory protein, C terminal [PF00486.32]					0
MFD01231.bin.1.34.R1.cmag_contig_3_713	MFD01231.bin.1.34.R1.cmag	contig_3	713	867392	868621	1	C	nsh:GXM_07902		nsh:GXM_07902 ()  UDP-N-acetylglucosamine--LPS N-acetylglucosamine transferase	False	0.28	163.0	2.074e-39								Glycosyltransferase family 28 C-terminal domain [PF04101.20]; Monogalactosyldiacylglycerol (MGDG) synthase [PF06925.15]	GT28	GT28 1,2-diacylglycerol 3-beta-galactosyltransferase (EC 2.4.1.46); 1,2-diacylglycerol 3-beta-glucosyltransferase (EC 2.4.1.157); UDP-GlcNAc: Und-PP-MurAc-pentapeptide beta-N-acetylglucosaminyltransferase (EC 2.4.1.227); digalactosyldiacylglycerol synthase (EC 2.4.1.241)	2.4.1.157,2.4.1.227,2.4.1.241,2.4.1.46	GT28.hmm	0
MFD01231.bin.1.34.R1.cmag_contig_3_714	MFD01231.bin.1.34.R1.cmag	contig_3	714	868635	870044	-1	C	aoz:HUE56_01260	K01114	aoz:HUE56_01260 (ko:K01114)  phosphoesterase	False	0.416	310.0	1.224e-88								Phosphoesterase family [PF04185.18]					0
MFD01231.bin.1.34.R1.cmag_contig_3_715	MFD01231.bin.1.34.R1.cmag	contig_3	715	870299	870694	-1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_716	MFD01231.bin.1.34.R1.cmag	contig_3	716	870725	871423	-1	C	gur:Gura_2567	K00943	gur:Gura_2567 (ko:K00943)  thymidylate kinase	False	0.622	273.0	5.257e-80								Thymidylate kinase [PF02223.21]					0
MFD01231.bin.1.34.R1.cmag_contig_3_717	MFD01231.bin.1.34.R1.cmag	contig_3	717	871420	872106	-1	C	fpes:NXS98_05745	K00943	fpes:NXS98_05745 (ko:K00943)  thymidylate kinase	False	0.694	295.0	1.322e-87								Thymidylate kinase [PF02223.21]; Deoxynucleoside kinase [PF01712.23]					0
MFD01231.bin.1.34.R1.cmag_contig_3_718	MFD01231.bin.1.34.R1.cmag	contig_3	718	872123	873658	-1	C	mrm:A7982_00416	K01524	mrm:A7982_00416 (ko:K01524)  Exopolyphosphatase	False	0.372	323.0	1.3249999999999999e-92								Ppx/GppA phosphatase family [PF02541.20]; Ppx/GppA phosphatase, domain III [PF21447.1]					0
MFD01231.bin.1.34.R1.cmag_contig_3_719	MFD01231.bin.1.34.R1.cmag	contig_3	719	873920	874621	1	C	care:LT85_2973	K09474	care:LT85_2973 (ko:K09474)  hypothetical protein	False	0.537	208.0	1.916e-57								PAP2 superfamily [PF01569.25]					0
MFD01231.bin.1.34.R1.cmag_contig_3_720	MFD01231.bin.1.34.R1.cmag	contig_3	720	874644	876173	-1	C	ccro:CMC5_070400		ccro:CMC5_070400 ()  uncharacterized protein	False	0.335	257.0	6.484e-70								Predicted membrane protein (DUF2254) [PF10011.13]					0
MFD01231.bin.1.34.R1.cmag_contig_3_721	MFD01231.bin.1.34.R1.cmag	contig_3	721	876433	876636	1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_722	MFD01231.bin.1.34.R1.cmag	contig_3	722	876963	878162	1	C	dtp:JZK55_04370	K02358	dtp:JZK55_04370 (ko:K02358)  tuf1_1; elongation factor Tu	False	0.804	659.0	1.678e-210								Elongation factor Tu GTP binding domain [PF00009.31]; Elongation factor Tu C-terminal domain [PF03143.21]; Elongation factor Tu domain 2 [PF03144.29]					0
MFD01231.bin.1.34.R1.cmag_contig_3_723	MFD01231.bin.1.34.R1.cmag	contig_3	723	878508	878693	1	D															SecE/Sec61-gamma subunits of protein translocation complex [PF00584.24]					0
MFD01231.bin.1.34.R1.cmag_contig_3_724	MFD01231.bin.1.34.R1.cmag	contig_3	724	878703	879233	1	C	mox:DAMO_0527	K02601	mox:DAMO_0527 (ko:K02601)  nusG; component in transcription antitermination	False	0.583	200.0	9.268e-56								Transcription termination factor nusG [PF02357.23]					0
MFD01231.bin.1.34.R1.cmag_contig_3_725	MFD01231.bin.1.34.R1.cmag	contig_3	725	879250	879678	1	C	dli:dnl_10740	K02867	dli:dnl_10740 (ko:K02867)  rplK; 50S ribosomal protein L11	False	0.743	210.0	7.457e-60								Ribosomal protein L11, N-terminal domain [PF03946.18]; Ribosomal protein L11, RNA binding domain [PF00298.23]					0
MFD01231.bin.1.34.R1.cmag_contig_3_726	MFD01231.bin.1.34.R1.cmag	contig_3	726	879690	880385	1	C	dtp:JZK55_06420	K02863	dtp:JZK55_06420 (ko:K02863)  rplA; 50S ribosomal protein L1	False	0.63	282.0	6.758e-83								Ribosomal protein L1p/L10e family [PF00687.25]					0
MFD01231.bin.1.34.R1.cmag_contig_3_727	MFD01231.bin.1.34.R1.cmag	contig_3	727	880624	881145	1	C	cthm:CFE_2676	K02864	cthm:CFE_2676 (ko:K02864)  LSU ribosomal protein L10P	False	0.483	150.0	2.664e-38								Ribosomal protein L10 [PF00466.24]					0
