bin	phylum	class	order	family	genus	species	novelty
MFD09206.bin.2.142	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	P52-10	s_novel_10909_2	Species
MFD01299.bin.3.1	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	SURF-16	s_novel_1091_0	Species
MFD01275.bin.2.15	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	P52-10	s_novel_10910_0	Species
MFD04651.bin.2.128	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	P52-10	s_novel_10911_0	Species
MFD01721.bin.2.202	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Tepidamorphaceae	Lutibaculum	s_novel_10912_0	Species
MFD09212.bin.1.232	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Camelimonas	s_novel_10913_0	Species
MFD05684.bin.2.282	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	g_novel_bac_927	s_novel_10914_0	Genus
MFD00392.bin.2.146	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Nitrobacter	s_novel_10915_0	Species
MFD05537.bin.2.27	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Nitrobacter	s_novel_10916_0	Species
MFD00392.bin.2.237	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Nitrobacter	Nitrobacter vulgaris	Known
MFD06742.bin.2.93	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	s_novel_10918_0	Species
MFD01213.bin.2.4	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10919_1	Species
MFD02923.bin.2.21	Desulfobacterota	Desulfobulbia	Desulfobulbales	S012-135	g_novel_bac_699	s_novel_1092_0	Genus
MFD04580.bin.2.132	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10920_0	Species
MFD05674.bin.c.1	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	s_novel_10921_0	Species
MFD10097.bin.2.7	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Afipia	Afipia sp024707075	Known
MFD05442.bin.3.20	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10923_0	Species
MFD09368.bin.3.355	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10924_0	Species
MFD05942.bin.4.194	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10925_0	Species
MFD04780.bin.1.203	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10926_0	Species
MFD05841.bin.1.101	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10927_1	Species
MFD05705.bin.1.84	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10928_0	Species
MFD01872.bin.1.361	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10929_1	Species
MFD01476.bin.2.85	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	g_novel_bac_678	s_novel_1093_1	Genus
MFD09286.bin.2.137	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10930_1	Species
MFD05512.bin.1.45	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10930_2	Species
MFD04540.bin.2.17	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10930_3	Species
MFD05513.bin.2.36	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10931_1	Species
MFD04540.bin.1.156	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10932_0	Species
MFD05513.bin.2.72	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10933_0	Species
MFD01138.bin.1.8	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10934_1	Species
MFD10113.bin.2.56	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10934_2	Species
MFD04540.bin.2.47	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10935_0	Species
MFD05513.bin.1.205	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10936_0	Species
MFD05521.bin.2.65	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10937_1	Species
MFD04428.bin.1.112	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10938_1	Species
MFD06742.bin.2.278	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10939_1	Species
MFD10043.bin.2.49	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10939_2	Species
MFD01299.bin.2.138	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	g_novel_bac_678	s_novel_1094_0	Genus
MFD05513.bin.2.164	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10940_0	Species
MFD09368.bin.1.213	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10941_0	Species
MFD05521.bin.3.347	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10942_0	Species
MFD06714.bin.1.81	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10943_1	Species
MFD05513.bin.1.20	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10944_1	Species
MFD06526.bin.2.13	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10944_2	Species
MFD05513.bin.2.70	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10945_1	Species
MFD09368.bin.1.178	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10945_2	Species
MFD04580.bin.3.183	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10946_1	Species
MFD10113.bin.2.107	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10946_2	Species
MFD09368.bin.3.70	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10946_3	Species
MFD09368.bin.2.137	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10947_1	Species
MFD05521.bin.2.129	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10947_2	Species
MFD10113.bin.2.138	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10948_1	Species
MFD06526.bin.2.119	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10949_1	Species
MFD08416.bin.2.83	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10949_2	Species
MFD04752.bin.3.136	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	JAMPXD01	s_novel_1095_0	Species
MFD06714.bin.1.234	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10950_1	Species
MFD00822.bin.1.4	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10951_0	Species
MFD05521.bin.3.444	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10952_0	Species
MFD00031.bin.1.117	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10953_0	Species
MFD01213.bin.2.174	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10954_1	Species
MFD04580.bin.2.86	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10955_1	Species
MFD04967.bin.1.194	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10955_2	Species
MFD09368.bin.2.35	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium sp003020115	Known
MFD09603.bin.2.248	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10957_0	Species
MFD08416.bin.2.70	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10958_1	Species
MFD00392.bin.2.81	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10959_0	Species
MFD02979.bin.3.28	Desulfobacterota	Desulfuromonadia	Geobacterales	Pseudopelobacteraceae	CAIPTY01	s_novel_1096_1	Species
MFD02979.bin.4.37	Desulfobacterota	Desulfuromonadia	Geobacterales	Pseudopelobacteraceae	CAIPTY01	s_novel_1096_2	Species
MFD09368.bin.3.325	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10960_0	Species
MFD02134.bin.2.244	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10961_0	Species
MFD05841.bin.3.161	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10962_1	Species
MFD03975.bin.3.478	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10963_1	Species
MFD01916.bin.2.96	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_1	Species
MFD05942.bin.2.281	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_10	Species
MFD02134.bin.3.423	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_11	Species
MFD04212.bin.3.74	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_12	Species
MFD05674.bin.2.19	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_13	Species
MFD05513.bin.2.215	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_14	Species
MFD02809.bin.3.578	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_15	Species
MFD02134.bin.3.468	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_2	Species
MFD02134.bin.3.392	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_3	Species
MFD02242.bin.2.3	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_4	Species
MFD01916.bin.1.16	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_5	Species
MFD08416.bin.2.27	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_6	Species
MFD00822.bin.1.7	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_7	Species
MFD06298.bin.2.74	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_8	Species
MFD03975.bin.3.102	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10964_9	Species
MFD05747.bin.4.134	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium sp013822885	Known
MFD09730.bin.2.144	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium sp013822885	Known
MFD00392.bin.2.276	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10966_1	Species
MFD02360.bin.1.180	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10966_2	Species
MFD09730.bin.2.116	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10967_0	Species
MFD04944.bin.2.90	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10968_1	Species
MFD05513.bin.2.177	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10969_1	Species
MFD05513.bin.2.56	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10969_2	Species
MFD01299.bin.2.165	Desulfobacterota	Desulfuromonadia	Geobacterales	Pseudopelobacteraceae	JACRCG01	s_novel_1097_0	Species
MFD05513.bin.3.89	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10970_0	Species
MFD03975.bin.2.195	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10971_1	Species
MFD05513.bin.1.175	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10972_1	Species
MFD09212.bin.3.104	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10973_1	Species
MFD06298.bin.3.355	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10974_1	Species
MFD06298.bin.2.160	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10975_1	Species
MFD06298.bin.2.175	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10976_0	Species
MFD05513.bin.2.172	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10977_1	Species
MFD04967.bin.1.64	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10978_1	Species
MFD05521.bin.2.194	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10978_2	Species
MFD06714.bin.3.280	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10978_3	Species
MFD05567.bin.2.154	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10979_0	Species
MFD02832.bin.2.134	Desulfobacterota	Desulfuromonadia	Geobacterales	Pseudopelobacteraceae	JACRCG01	s_novel_1098_0	Species
MFD05521.bin.1.8	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10980_1	Species
MFD00125.bin.2.47	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10981_0	Species
MFD04570.bin.3.94	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10982_0	Species
MFD04212.bin.2.229	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10983_1	Species
MFD05537.bin.1.20	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10983_2	Species
MFD01916.bin.2.7	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10984_0	Species
MFD01213.bin.2.11	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10985_0	Species
MFD01213.bin.1.169	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10986_0	Species
MFD01213.bin.1.162	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10987_0	Species
MFD04967.bin.1.219	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10988_1	Species
MFD06742.bin.3.344	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10988_2	Species
MFD04967.bin.2.13	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10988_3	Species
MFD04434.bin.2.133	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10989_0	Species
MFD02832.bin.3.246	Desulfobacterota	Desulfuromonadia	Geobacterales	Pseudopelobacteraceae	JACRCG01	s_novel_1099_0	Species
MFD05841.bin.2.12	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10990_1	Species
MFD00082.bin.2.107	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10991_1	Species
MFD04780.bin.3.497	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10991_2	Species
MFD05537.bin.3.31	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10992_0	Species
MFD09671.bin.2.76	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10993_0	Species
MFD01633.bin.1.223	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10994_1	Species
MFD09671.bin.1.108	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10995_0	Species
MFD03346.bin.1.30	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10996_0	Species
MFD00964.bin.1.303	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10997_1	Species
MFD03044.bin.2.50	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10998_1	Species
MFD05512.bin.1.147	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium sp021779635	Known
MFD01299.bin.3.353	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10998_3	Species
MFD04967.bin.2.112	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10999_1	Species
MFD01872.bin.1.293	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10999_2	Species
MFD05521.bin.3.166	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_10999_3	Species
MFD00709.bin.2.4	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfuricurvum	s_novel_11_0	Species
MFD09286.bin.2.87	Elusimicrobiota	Endomicrobiia	Endomicrobiales	f_novel_bac_1577	g_novel_bac_1577	s_novel_110_0	Family
MFD00709.bin.2.7	Desulfobacterota	BSN033	BSN033	UBA1163	g_novel_bac_729	s_novel_1100_1	Genus
MFD02979.bin.2.58	Desulfobacterota	BSN033	BSN033	UBA1163	g_novel_bac_729	s_novel_1100_2	Genus
MFD10064.bin.3.163	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11000_0	Species
MFD05513.bin.2.49	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11001_0	Species
MFD01633.bin.1.206	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11002_1	Species
MFD01213.bin.1.132	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11002_2	Species
MFD00031.bin.3.84	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11002_3	Species
MFD08416.bin.2.21	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11003_0	Species
MFD04212.bin.2.89	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11004_0	Species
MFD01223.bin.1.101	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11005_1	Species
MFD04540.bin.2.39	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11006_0	Species
MFD05841.bin.1.14	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11007_1	Species
MFD01872.bin.2.259	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11008_1	Species
MFD01872.bin.3.390	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11008_2	Species
MFD03726.bin.2.46	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium sp004799445	Known
MFD03044.bin.2.99	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11009_1	Species
MFD00008.bin.1.150	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11009_2	Species
MFD02809.bin.2.265	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11009_3	Species
MFD01299.bin.2.214	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11009_4	Species
MFD01872.bin.1.75	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11009_5	Species
MFD05942.bin.1.391	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11009_6	Species
MFD04716.bin.2.14	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	UBA6107	s_novel_1101_0	Species
MFD02134.bin.1.8	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11010_1	Species
MFD05377.bin.2.162	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11011_0	Species
MFD02134.bin.1.91	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11012_1	Species
MFD03066.bin.2.19	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11013_0	Species
MFD05513.bin.3.22	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11014_0	Species
MFD00072.bin.3.234	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11015_1	Species
MFD01275.bin.3.249	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11016_1	Species
MFD04212.bin.2.155	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11016_2	Species
MFD04212.bin.2.156	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11017_0	Species
MFD09212.bin.2.144	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11018_0	Species
MFD10064.bin.1.59	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11019_1	Species
MFD05684.bin.2.37	Chloroflexota	Chloroflexia	Thermomicrobiales	CFX8	JAUIIK01	s_novel_1102_0	Species
MFD05705.bin.1.79	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11020_0	Species
MFD05442.bin.1.436	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11021_1	Species
MFD05512.bin.2.161	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11021_2	Species
MFD06714.bin.1.9	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11021_3	Species
MFD05513.bin.2.25	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11021_4	Species
MFD05942.bin.2.313	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11022_1	Species
MFD05705.bin.2.82	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11022_2	Species
MFD05521.bin.3.609	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11023_0	Species
MFD02134.bin.2.154	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11024_1	Species
MFD05705.bin.2.94	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11024_2	Species
MFD05942.bin.3.192	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11024_3	Species
MFD05942.bin.1.145	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	s_novel_11025_1	Species
