bin	Completeness_CheckM1	Contamination_CheckM1	Strain_Heterogeneity	Completeness_CheckM2	Contamination_CheckM2	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	cov	bakta_CDS_all	bakta_CDS_hyp	bakta_tRNA_all	bakta_tRNA_uniq	bakta_16S	bakta_23S	bakta_5S	barrnap_16S	barrnap_23S	barrnap_5S	uniq_trna_arc	Q_score	MAG_status	gtdb_classification	gtdb_msa	gtdb_ani	gtdb_af	gtdb_red	primary_cluster	secondary_cluster
LIB-MJ334-H9_01.22	64.53	0.85	100	92.04	0.02	0.922	29223	282.372979214781	793636	0.46	866	59	80046	15.34856	805	258	38	21	0	0	1	0	0	1	0	60.28	MQ	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__Microsaccharimonas;s__	70.01	N/A	N/A	0.92796	67	67_0
LIB-MJ256-E7_03.2	96.45	4.25	33.33	91.18	0.82	0.927	29166	303.65046370323	3063024	0.68	3127	177	79828	16.29103	3009	911	42	20	0	0	1	0	0	1	0	75.2	MQ	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__Palsa-851;s__	91.86	N/A	N/A	0.94502	1047	1047_0
LIB-MJ334-F5_01.4	92.82	0.66	0	91.67	0.21	0.881	29029	291.565618221258	1827654	0.37	1844	115	79842	173.80489	1826	75	13	10	0	0	0	0	0	0	0	89.52	MQ	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus infantarius	90.69	98.22	0.871	N/A	4724	4724_1
LIB-MJ352-G9_03.8	98.51	0.65	33.33	100	0.88	0.895	29018	347.495899959	5673818	0.49	4878	358	126670	22.290478	4696	1109	38	21	0	0	0	0	0	0	0	95.26	MQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Chryseosolibacter;s__	94.76	76.87	0.12	0.94728	1510	1510_0
LIB-MJ389-G10_03.14	97.5	0.83	0	96.02	0.76	0.927	28917	312.660738406123	4485567	0.67	4442	251	169466	36.352203	4260	236	44	22	0	0	1	0	0	1	0	93.35	MQ	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	93.39	N/A	N/A	0.99082	1617	1617_1
LIB-MJ301-F5_01.28	97.42	1.3	50	96.3	2.38	0.897	28894	302.80329153605	2579957	0.59	2552	171	81991	17.785925	2497	478	45	20	0	0	0	0	0	0	0	90.92	MQ	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae;g__Parvibaculum;s__	89.63	80.33	0.713	0.95044	2639	2639_0
LIB-MJ387-F1_01.2	95.14	0.18	100	99.21	0.13	0.843	28835	302.881703953417	3513615	0.49	3263	278	102929	22.701908	3073	276	50	20	0	0	0	0	0	0	0	94.24	MQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Oceanisphaera;s__	76.72	80.5	0.539	0.97896	3160	3160_0
LIB-MJ388-G9_02.25	98.69	0.27	0	99.94	0.09	0.906	28788	328.337113402062	4211523	0.69	3880	228	85953	103.1996	3771	362	45	22	0	0	0	0	0	0	0	97.34	MQ	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;s__	96.23	N/A	N/A	0.98508	1904	1904_1
LIB-MJ413-H3_01.24	94.89	1.08	100	95.74	0.53	0.952	28763	337.288217522659	1754565	0.58	1655	104	101496	11.96609	1575	200	31	17	0	0	1	0	0	1	0	89.49	MQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__TMED14;s__TMED14 sp003451355	88.16	97.35	0.9	N/A	147	147_0
LIB-MJ381-B2_02.13	95.21	2.09	33.33	95.32	5.29	0.856	28553	279.092065106816	1919014	0.48	1966	113	74097	23.213497	1839	510	51	21	2	0	1	2	0	1	0	84.76	MQ	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__E44-bin10;s__	83.77	N/A	N/A	0.92752	231	231_0
LIB-MJ259-G6_04.13	98.55	0.58	0	99.26	0.65	0.885	28511	301.672919109027	4353176	0.59	4265	271	99924	14.791041	4116	1280	43	21	0	0	0	0	0	0	0	95.65	MQ	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__	97.2	78.13	0.349	0.91533	2805	2805_1
LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.39	94.43	8.97	7.69	95.38	4.3	0.826	28467	303.133118452861	6812958	0.59	6205	448	111076	17.201313	5932	2251	88	22	1	0	1	1	0	1	0	49.58	MQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__UBA7540;f__UBA7540;g__Bog-366;s__	89.67	N/A	N/A	0.94899	2239	2239_0
LIB-MJ354-A1_04_v_LIB-MJ367-A1_04.49	94.02	1.88	33.33	95.43	0.07	0.886	28466	329.707851851852	3760125	0.59	3375	238	105107	20.74132	3222	1013	51	21	0	1	2	0	1	2	0	84.62	MQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__;s__	92.65	N/A	N/A	0.85768	4164	4164_1
LIB-MJ389-G6_03.7	98.66	2.7	10	99.99	2.68	0.91	28434	312.23942537909	3860783	0.62	3759	219	140585	20.102701	3701	377	44	21	0	0	2	0	0	2	0	85.16	MQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__UBA6240;s__	96.64	N/A	N/A	0.95256	3454	3454_0
LIB-MJ335-A5_02.17	84.74	0	0	93.87	0.63	0.887	28298	239.990228013029	995517	0.45	1228	52	69650	34.99327	1165	1047	14	10	1	1	0	1	2	0	20	84.74	MQ	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__Aenigmatarchaeales;f__;g__;s__	87.97	N/A	N/A	0.55642	150	150_0
LIB-MJ305-D10_04.37	97.83	2.71	8.33	99.7	0.14	0.88	28226	327.121637426901	2856107	0.41	2565	201	116062	27.967089	2350	469	43	20	0	1	2	0	1	2	0	84.28	MQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	95.13	N/A	N/A	0.9694	4824	4824_0
LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.82	94.58	1.35	33.33	93.68	4.03	0.896	28149	294.5661797922	6533296	0.64	6641	403	123488	16.051687	6377	1769	44	22	0	0	1	0	0	1	0	87.83	MQ	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__JAMXLO01;s__	89.83	79.12	0.45	0.93266	2886	2886_0
LIB-MJ390-C1_03.35	96.64	0.13	0	95.76	0.84	0.931	27899	307.274955170353	3303562	0.66	3346	233	80742	15.9217415	3174	398	45	19	0	1	1	0	1	1	0	95.99	MQ	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp018401645	92.08	98.59	0.839	N/A	1626	1626_1
LIB-MJ305-D10_04.46	89.79	0.32	0	86.41	1.14	0.917	27806	314.684394071491	2355569	0.45	2294	155	89888	26.7447	2212	537	44	21	0	0	2	0	0	0	0	88.19	MQ	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__	77.18	N/A	N/A	0.98496	4550	4550_0
LIB-MJ054-D1_03.16	91.76	1.08	100	88.24	1.3	0.859	27708	289.94575045208	2795731	0.43	2765	163	81207	19.111982	2661	127	53	19	0	0	2	0	0	2	0	86.36	MQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	65.54	N/A	N/A	0.99716	4350	4350_2
LIB-MJ230-F2_03.10	98.91	0.35	25	95.67	0.03	0.863	27648	307.200744359153	4586728	0.4	4299	282	85355	10.852133	4173	260	37	18	0	0	3	0	0	3	0	97.16	MQ	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Planktothrix;s__Planktothrix agardhii	84.67	99.26	0.96	N/A	460	460_0
LIB-MJ388-H6_02.17	96.41	0.89	66.67	92.14	0.32	0.904	27643	290.3641084824	3334180	0.62	3466	218	92822	29.436422	3345	250	44	21	1	0	1	1	0	1	0	91.96	MQ	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Jannaschia;s__Jannaschia helgolandensis	91.56	99.57	0.985	N/A	2565	2565_1
LIB-MJ334-B12_01.32	98.41	4.52	0	97.05	4.27	0.897	27615	335.052312138728	3869497	0.46	3460	200	115659	11.663923	3351	614	39	20	0	0	1	0	0	1	0	75.81	MQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	94.88	89.35	0.821	0.99237	242	242_0
LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.136	98.64	1.82	50	98.56	0.54	0.87	27590	294.048849669083	3214118	0.54	3173	228	107619	14.195238	3045	747	44	21	1	0	0	1	0	0	0	89.54	MQ	d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__JALNZF01;s__	94.08	85.0	0.659	0.96034	2450	2450_0
LIB-MJ338-H11_04.16	97.06	5.06	18.18	99.09	7.54	0.865	27259	293.868050407709	6860669	0.57	6745	668	121872	25.686699	6389	2241	61	22	0	1	0	0	1	0	0	71.76	MQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__JABDBE01;s__	87.98	80.36	0.445	0.97497	3901	3901_0
LIB-MJ334-D8_01.7	53.5	2.56	25	89.43	3.85	0.875	27222	277.229903536977	590964	0.36	622	33	71654	9.913091	605	162	37	17	0	0	0	0	0	0	0	40.7	MQ	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__Zambryskibacteraceae;g__C7867-006;s__	55.91	77.96	0.337	0.93223	4257	4257_0
LIB-MJ251-C7_04.18	96.52	5.03	9.38	99.11	4.42	0.86	27162	287.535919339028	7151533	0.62	7141	533	101277	13.219836	6908	2243	119	21	0	0	1	0	0	1	0	71.37	MQ	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__	88.82	N/A	N/A	0.94928	3046	3046_0
LIB-MJ134-C6_03.39	97.22	0.93	100	96.43	0.63	0.911	27038	306.591664396622	3696586	0.62	3671	219	72848	10.507358	3446	1936	49	22	1	0	1	1	0	1	0	92.57	MQ	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Cybelea;s__	91.3	77.57	0.323	0.95231	2186	2186_1
LIB-MJ305-E9_04.12	58.26	0.85	100	91.66	0.54	0.9	26936	275.51391862955	855108	0.52	934	54	49703	11.642919	892	413	38	19	1	0	1	1	0	1	0	54.01	MQ	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA5946;g__;s__	69.33	N/A	N/A	0.81835	51	51_0
LIB-MJ301-D5_01.7	98.19	1.09	25	98.94	1.72	0.891	26776	266.855202312139	3097564	0.68	3460	195	80920	38.39163	3295	581	43	21	1	0	1	1	0	1	0	92.74	MQ	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__NIES-981;s__	89.85	90.1	0.758	0.96975	4513	4513_0
LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.42	91.27	4.74	4.17	87.22	0.5	0.928	26765	323.469486599935	3231126	0.63	3097	201	124881	16.91181	2994	731	28	15	0	0	1	0	0	1	0	67.57	MQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	81.15	N/A	N/A	0.93071	2382	2382_0
LIB-MJ263-D4_04.62	98.65	6.22	0	95.83	2.04	0.888	26734	310.959569611999	3217779	0.57	3067	219	89108	13.066118	2909	949	49	21	1	0	1	1	0	0	0	67.55	MQ	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA11358;g__UBA7542;s__	87.07	N/A	N/A	0.93273	4189	4189_0
LIB-MJ343-H1_01_v_LIB-MJ409-C11_01.2	92.74	1.35	0	94.5	0.53	0.902	26636	337.481167108753	2109626	0.44	1885	124	76604	18.433937	1845	771	38	21	0	0	0	0	0	0	0	85.99	MQ	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae;g__CAJCIW01;s__	85.68	78.18	0.22	0.90841	4305	4305_1
LIB-MJ413-D10_01.7	96.41	5.39	35.71	99.94	6.48	0.865	26585	271.701432243849	2556472	0.58	2723	333	121468	17.604992	2589	2143	42	17	0	2	2	0	2	2	21	69.46	MQ	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp012797575	95.76	98.86	0.94	N/A	511	511_1
LIB-MJ089-E10_02.7	97.65	1.9	33.33	96.91	2.16	0.862	26577	344.590141330576	6944796	0.58	5802	452	130056	21.64307	5521	1664	59	20	0	0	0	0	0	0	0	88.15	MQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Terracidiphilus;s__	88.98	N/A	N/A	0.92574	3690	3690_1
LIB-MJ260-H6_01.7	82.07	1.72	100	91.45	0.04	0.905	26508	309.501642935378	2805242	0.45	2739	183	58300	22.065147	2607	324	35	19	0	0	2	1	0	2	0	73.47	MQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Salinimicrobium;s__	76.23	N/A	N/A	0.95466	4877	4877_0
LIB-MJ109-D1_01.13	90.83	0.4	0	99.22	0	0.907	26439	300.150475184794	1877123	0.58	1894	116	83396	13.365125	1834	260	41	20	0	0	0	0	0	0	0	88.83	MQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__	98.55	N/A	N/A	0.9865	3468	3468_0
LIB-MJ390-B2_03.8	98.72	2.98	33.33	100	4.11	0.857	26378	302.972917826006	5703775	0.45	5391	441	184803	16.623755	5050	1039	51	22	0	0	4	0	0	4	0	83.82	MQ	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__	89.95	78.55	0.316	0.94725	2104	2104_0
LIB-MJ388-A10_02.28	94.74	5.94	29.73	90.88	6.13	0.908	26134	298.03025	3933818	0.62	4000	292	92677	12.051369	3849	311	41	20	0	0	0	0	0	0	0	65.04	MQ	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudosulfitobacter;s__	73.88	N/A	N/A	0.99362	2582	2582_0
LIB-MJ335-D5_02.2	99.34	0.95	0	99.98	0.84	0.903	26124	294.348257115446	3052316	0.63	3127	198	97921	19.978033	3020	317	41	21	0	0	0	0	0	0	0	94.59	MQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Thiobacillaceae;g__Thiobacillus;s__Thiobacillus sp019459055	97.56	98.31	0.854	N/A	3478	3478_1
LIB-MJ337-F9_03.11	98.92	0	0	95.21	0.53	0.927	26121	303.78388040299	3015847	0.62	3077	174	142728	10.568924	2905	1547	48	22	0	0	1	0	0	1	0	98.92	MQ	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Cybelea;s__	91.56	91.0	0.737	0.99169	2176	2176_1
LIB-MJ389-H5_03.5	98.54	0.82	50	98.12	1.26	0.912	26116	293.669343672113	3479078	0.59	3611	228	91278	23.060818	3450	452	39	20	0	0	0	0	0	0	0	94.44	MQ	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__	91.1	77.46	0.282	0.95983	2577	2577_1
LIB-MJ334-H6_01.23	98.6	3	15.38	99.95	5.17	0.873	26017	275.059723593287	1911126	0.43	2026	211	143582	15.112908	1926	144	21	12	0	0	2	0	0	2	0	83.6	MQ	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus curvatus	87.57	99.27	0.936	N/A	4711	4711_0
LIB-MJ192-G9_04.2	96.14	1.03	0	96.92	1.55	0.877	25939	334.529009572182	5850015	0.59	5119	376	146069	11.230005	4956	1321	50	21	0	0	1	0	0	1	0	90.99	MQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Terracidiphilus;s__	89.24	78.23	0.329	0.97196	3668	3668_1
LIB-MJ251-A10_04.1	97.17	0.94	33.33	95.11	6.16	0.908	25936	329.512951167728	7669553	0.57	7065	475	90983	11.275275	6813	2924	80	22	0	0	1	0	0	1	0	92.47	MQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__KBS-96;s__	90.51	77.17	0.086	0.90595	844	844_1
LIB-MJ388-H6_02.23	98.89	1.14	62.5	98.46	0.31	0.865	25733	303.319284539474	5110862	0.4	4864	372	73571	13.925574	4595	1286	46	21	0	0	2	0	0	0	0	93.19	MQ	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Spirulinaceae;g__;s__	92.31	N/A	N/A	0.8121	4712	4712_1
LIB-MJ388-G9_02.21	89.39	1.44	80	87.75	0.9	0.93	25694	308.845200486027	4089447	0.68	4115	256	118195	21.153217	3937	253	45	21	0	0	1	0	0	1	0	82.19	MQ	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	74.68	N/A	N/A	0.98329	1614	1614_1
LIB-MJ305-B8_04.39	70.94	0	0	96.31	0.25	0.877	25679	286.291118421053	1187164	0.51	1216	71	95371	10.375801	1137	494	44	21	0	0	2	0	0	2	0	70.94	MQ	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__GCA-2746885;s__	74.66	76.6	0.124	0.94844	39	39_0
LIB-MJ390-C1_03.34	91.33	4.5	61.54	96.82	5.09	0.934	25644	317.049398194584	4049859	0.63	3988	314	104933	39.207386	3789	615	29	16	1	1	2	1	1	2	0	68.83	MQ	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__SG8-38;s__	89.77	85.86	0.688	0.98162	665	665_1
LIB-MJ251-C7_04.28	94.79	6.9	0	95.05	2.91	0.918	25641	317.098604438344	4520519	0.65	4371	331	84606	12.591785	4259	1274	46	19	0	0	1	0	0	1	0	60.29	MQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__FEN-1191;s__	89.69	N/A	N/A	0.9194	2330	2330_0
LIB-MJ227-G11_02.20	94.77	1.34	61.11	94.3	0.28	0.894	25627	320.902167308082	5310199	0.62	4937	360	216612	87.3719	4777	162	60	21	0	0	1	0	0	1	0	88.07	MQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alloputida	77.14	96.97	0.901	N/A	3253	3253_1
LIB-MJ132-F11_03.18	95.97	2.44	56.25	99.7	3.67	0.844	25505	298.108604091456	3517041	0.59	3324	238	94699	14.942453	3291	707	44	21	0	0	0	0	0	0	0	83.77	MQ	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__0-14-0-80-60-11;g__0-14-0-80-60-11;s__	84.31	N/A	N/A	0.9073	702	702_0
LIB-MJ282-B4_03.8	98.79	3.36	0	97.81	3.04	0.89	25467	323.279465776294	3259433	0.35	2995	204	108527	12.333957	2881	689	50	21	0	0	4	0	0	2	0	81.99	MQ	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lutisporales;f__Lutisporaceae;g__GWB2-37-7;s__	92.87	78.53	0.22	0.91371	4828	4828_0
LIB-MJ106-H9_01.9	99.15	1.28	0	97.02	1.07	0.924	25428	301.442186744074	2019337	0.64	2067	130	92612	10.761957	1984	411	47	21	1	0	1	1	0	1	0	92.75	MQ	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__	93.41	82.24	0.641	0.98763	1132	1132_0
LIB-MJ301-D2_01.7	97.42	0.22	0	99.57	1.06	0.851	25316	285.692870201097	3847021	0.4	3829	277	96837	47.954372	3659	291	44	20	0	0	0	0	0	0	0	96.32	MQ	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__RPRI01;g__RPRI01;s__	90.35	86.5	0.65	0.97808	1020	1020_0
LIB-MJ334-D11_01.23	62.11	0.46	0	100	1.34	0.903	25303	288.939814814815	1034691	0.43	1080	58	82913	10.742115	1027	412	40	19	0	0	1	0	0	1	0	59.81	MQ	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA2112;g__UBA2112;s__	72.08	N/A	N/A	0.90134	4465	4465_0
LIB-MJ305-H10_04.38	62.89	0.85	100	97.24	0.21	0.905	25250	286.386889460154	737227	0.38	778	53	62177	20.37499	728	294	39	20	0	0	1	1	0	1	0	58.64	MQ	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanogingivalaceae;g__Nanogingivalis;s__Nanogingivalis sp017992395	70.88	99.22	0.905	N/A	4419	4419_0
LIB-MJ259-B6_04.29	94.8	3.51	0	97.47	1.87	0.856	25242	303.060431417751	6441225	0.57	6073	498	139239	14.963939	5817	1993	81	21	1	0	1	1	0	1	0	77.25	MQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Palsa-360;s__	89.04	82.15	0.671	0.97183	4167	4167_1
LIB-MJ110-C9_04.26	92.52	0	0	93.11	1.92	0.883	25225	322.815135375055	4932780	0.57	4506	367	68476	13.6204405	4329	1051	53	22	1	0	0	1	1	0	0	92.52	MQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__	87.21	80.25	0.582	0.97975	4085	4085_1
LIB-MJ389-H3_03.1	98.45	0	0	98.4	0.19	0.869	25181	281.589937106918	3085844	0.4	3180	200	113306	13.45627	3061	252	22	12	0	0	4	0	0	4	0	98.45	MQ	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Paenisporosarcina;s__	94.32	86.07	0.822	0.98625	4410	4410_0
LIB-MJ413-B8_01.4	90.07	0.71	0	97.48	0.46	0.854	25093	288.735550708833	1857020	0.39	1834	135	158905	15.223772	1744	311	28	17	0	0	0	0	0	0	0	86.52	MQ	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Natronincolaceae;g__JAAZJW01;s__JAAZJW01 sp012519835	90.31	99.78	0.969	N/A	400	400_1
LIB-MJ413-G3_01.6	93.66	2.16	25	94.71	0.76	0.938	25084	298.698343079922	1953723	0.53	2052	143	122177	33.07652	1917	389	44	21	0	0	1	0	0	1	0	82.86	MQ	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__UBA4592 sp002469525	94.94	98.49	0.78	N/A	560	560_1
LIB-MJ307-E5_01.19	96.3	0.85	0	94.74	2.53	0.896	25040	303.504590275417	2979721	0.66	2941	182	112003	22.408861	2807	891	47	18	1	0	1	1	0	1	0	92.05	MQ	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__	88.98	81.08	0.454	0.96719	1239	1239_1
LIB-MJ256-G6_03.13	97.44	1.71	0	97.72	0.3	0.867	24918	273.991271140207	3468966	0.48	3666	277	85282	15.41959	3400	1189	39	18	0	0	2	0	0	1	0	88.89	MQ	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Gloeobacterales;f__;g__;s__	92.06	N/A	N/A	0.63617	414	414_0
LIB-MJ354-E2_04.14	96.51	6.68	25	100	3.03	0.928	24912	323.279863481229	3971063	0.65	3809	272	110473	31.98951	3668	771	46	21	0	1	1	0	1	1	0	63.11	MQ	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__2-12-FULL-65-11;s__	92.73	82.89	0.618	0.94853	4027	4027_1
LIB-MJ334-C11_01.22	99.19	0.81	0	98.45	1.87	0.803	24876	300.62970521542	4939277	0.58	4410	319	85417	48.22917	4274	1232	48	22	0	0	1	0	0	1	0	95.14	MQ	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SbD1;s__	90.35	N/A	N/A	0.92491	694	694_0
LIB-MJ390-B4_03.38	98.09	1.42	85.71	99.9	0.4	0.84	24759	320.35527621568	6908936	0.41	6046	472	95611	23.9153	5797	527	46	21	0	0	5	1	0	5	0	90.99	MQ	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcoleaceae;g__Limnoraphis;s__Limnoraphis sp000169095	90.17	99.21	0.924	N/A	453	453_0
LIB-MJ227-E5_02.17	96.61	2.63	50	96.8	2.15	0.853	24719	320.358281893004	4372897	0.61	3888	314	122392	14.211417	3746	1081	48	21	0	0	1	0	0	1	0	83.46	MQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Terracidiphilus;s__	90.98	N/A	N/A	0.95158	3687	3687_0
LIB-MJ413-H5_01.24	95.26	1.72	0	91.91	0.4	0.912	24679	308.428634751773	2282920	0.63	2256	166	80503	25.261477	2158	946	46	21	0	0	0	0	0	0	0	86.66	MQ	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__JACPNS01;g__JACPNS01;s__	91.86	N/A	N/A	0.87593	1059	1059_0
LIB-MJ386-A11_04.12	98.98	1.64	16.67	99.86	2.07	0.932	24650	301.928743545611	2817092	0.28	2905	177	122653	9.363879	2774	366	35	21	0	0	0	0	0	0	0	90.78	MQ	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Halarcobacter;s__	89.47	82.32	0.678	0.96717	129	129_1
LIB-MJ341-D3_02_v_LIB-MJ406-E1_04.20	86.7	5.77	55.56	87.57	1.73	0.875	24632	316.138957307061	5275987	0.58	4872	420	174399	19.948011	4726	1763	53	19	0	0	1	0	0	1	0	57.85	MQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Palsa-295;s__	79.9	84.05	0.659	0.98513	4126	4126_1
